Teacher,Day,Period,Class,Subject
FAV,MON,6,9F,NIL
FAV,MON,7,8D,NIL
FAV,TUE,2,10E,NIL
FAV,TUE,3,9C,NIL
FAV,TUE,4,9F,NIL
FAV,TUE,6,8D,NIL
FAV,TUE,7,8E,NIL
FAV,WED,1,8D,NIL
FAV,WED,2,9F,NIL
FAV,WED,3,8C,LAB2
FAV,WED,5,10E,NIL
FAV,WED,6,8E,NIL
FAV,THU,2,8C,LAB2
FAV,THU,4,9C,NIL
FAV,THU,5,9F,NIL
FAV,THU,6,10E,NIL
FAV,FRI,2,8E,NIL
FAV,FRI,4,10E,NIL
FAV,FRI,5,8D,NIL
FAV,FRI,6,SCM,NIL
FAV,FRI,7,9C,NIL
SUN,MON,2,8F,NIL
SUN,MON,3,10C,NIL
SUN,MON,4,9E,NIL
SUN,MON,7,8D2,NIL
SUN,TUE,2,10G,NIL
SUN,TUE,3,9E,NIL
SUN,TUE,4,8G,ITT
SUN,TUE,6,8D2,NIL
SUN,TUE,7,8F,NIL
SUN,WED,1,8D2,NIL
SUN,WED,4,10C,NIL
SUN,WED,5,10G,NIL
SUN,WED,6,8F,NIL
SUN,THU,3,10C,NIL
SUN,THU,4,9E,NIL
SUN,THU,6,10G,NIL
SUN,FRI,1,10C,NIL
SUN,FRI,2,8F,NIL
SUN,FRI,4,10G,NIL
SUN,FRI,5,8D2,NIL
SUN,FRI,6,SCM,NIL
SUN,FRI,7,9E,NIL
PCC,MON,3,10I,NIL
PCC,MON,4,9E,NIL
PCC,MON,5,9J,NIL
PCC,MON,7,8B,NIL
PCC,TUE,1,9J,NIL
PCC,TUE,2,9H,ITT
PCC,TUE,3,9E,NIL
PCC,TUE,5,8I,NIL
PCC,TUE,6,8B,NIL
PCC,WED,1,8B,NIL
PCC,WED,3,8I,NIL
PCC,WED,4,10I,NIL
PCC,WED,6,9H,LAB2
PCC,WED,7,9J,NIL
PCC,THU,2,9J,NIL
PCC,THU,3,10I,NIL
PCC,THU,4,9E,NIL
PCC,THU,6,9H,LAB2
PCC,THU,7,8I,NIL
PCC,FRI,1,10I,NIL
PCC,FRI,3,8I,NIL
PCC,FRI,5,8B,NIL
PCC,FRI,6,SCM,NIL
PCC,FRI,7,9E,NIL
FK,MON,3,10H,NIL
FK,MON,4,9B,NIL
FK,MON,5,9J2,NIL
FK,MON,7,8C,NIL
FK,TUE,1,9J2,NIL
FK,TUE,2,10F,NIL
FK,TUE,3,9B,NIL
FK,TUE,5,8J,NIL
FK,TUE,6,8C,NIL
FK,WED,1,8C,NIL
FK,WED,3,8J,NIL
FK,WED,4,10H,NIL
FK,WED,5,10F,NIL
FK,WED,7,9J2,NIL
FK,THU,2,9J2,NIL
FK,THU,3,10H,NIL
FK,THU,4,9B,NIL
FK,THU,6,10F,NIL
FK,THU,7,8J,NIL
FK,FRI,1,10H,NIL
FK,FRI,3,8J,NIL
FK,FRI,4,10F,NIL
FK,FRI,5,8C,NIL
FK,FRI,6,SCM,NIL
FK,FRI,7,9B,NIL
PVP,MON,2,8A,MUS
PVP,MON,3,9F,NIL
PVP,MON,4,8J,MUS
PVP,MON,6,9I,NIL
PVP,TUE,3,9J,NIL
PVP,TUE,4,8C,MUS
PVP,TUE,6,9C,NIL
PVP,TUE,7,9B,NIL
PVP,WED,2,9E,NIL
PVP,WED,3,8G,MUS
PVP,WED,4,8B,MUS
PVP,WED,6,8D,MUS
PVP,THU,2,8F,MUS
PVP,THU,3,8E,MUS
PVP,THU,4,8L,MUS
PVP,THU,6,9D,NIL
PVP,THU,7,8H,MUS
PVP,FRI,2,8I,MUS
PVP,FRI,3,9H,NIL
PVP,FRI,5,9A,NIL
PVP,FRI,6,9G,NIL
PVP,FRI,7,8K,MUS
LS,MON,3,9F,NIL
LS,MON,4,8H,WIE
LS,MON,6,9I,NIL
LS,MON,7,8K,WIE
LS,TUE,2,8G,WIE
LS,TUE,3,9J,NIL
LS,TUE,4,8I,WIE
LS,TUE,6,9C,NIL
LS,TUE,7,9B,NIL
LS,WED,2,9E,NIL
LS,WED,4,8E,WIE
LS,WED,6,8C,WIE
LS,WED,7,8L,WIE
LS,THU,2,8J,WIE
LS,THU,3,8A,WIE
LS,THU,4,8F,WIE
LS,THU,6,9D,NIL
LS,THU,7,8B,WIE
LS,FRI,2,8D,WIE
LS,FRI,3,9H,NIL
LS,FRI,5,9A,NIL
LS,FRI,6,9G,NIL
